Manufacturers Name,Business Name,Date Of Accident,Time Of Accident,AM,PM,Vehicle Year,Make,Model,License Plate Number,Vehicle Identification Number,State Vehicle Is Registered In,Address Of Accident,City,County,State,Zip Code,Moving,Stopped In Traffic,Pedestrian Involved,Bicyclist Involved,Undefined,Other,Number Of Vehicles Involved,Damage: Unknown,Damage: None,Damage: Minor,Damage: Moderate,Damage: Major,Click 1,Left Rear 1,Rear Bumper,Right Rear 1,Left Rear 2,Left Rear 3,Right Rear 2,Right Rear 3,Left Rear Passenger 1,Left Rear Passenger 2,Right Rear Passenger 1,Right Rear Passenger 2,Left Rear Passenger 3,Left Rear Passenger 4,Right Rear Passenger 3,Right Rear Passenger 4,Front Driver Side 1,Front Driver Side 2,Front Passenger Side 1,Front Passenger Side 2,Front Driver Side 3,Front Driver Side 4,Front Passenger Side 3,Front Passenger Side 4,Left Front Corner 1,Left Front Corner 2,Right Front Corner 1,Right Front Corner 2,Left Front Corner 3,Front Bumper,Model_2,License Plate Number_2,Vehicle Identification Number_2,State Vehicle Is Registered In_2,Moving_2,Stopped In Traffic_2,Pedestrian_2,Bicyclist_2,Undefined_2,Other_2,Number Of Vehicles Involved_2,Drivers Full Name First Middle Last_2,Conventional Mode,Accident Detail Description,Additional Information Attached_3,Weather A 1,Weather A 2,Weather B 1,Weather B 2,Weather C 1,Weather C 2,Weather D 1,Weather D 2,Weather E 1,Weather E 2,Weather F 1,Weather F 2,Weather G 1,Weather G 2,Lighting A 1,Lighting A 2,Lighting B 1,Lighting B 2,Lighting C 1,Lighting C 2,Lighting D 1,Lighting D 2,Lighting E 1,Lighting E 2,Roadway A 1,Roadway A 2,Roadway B 1,Roadway B 2,Roadway C 1,Roadway C 2,Roadway D 1,Roadway D 2,Road Conditions A 1,Road Conditions A 2,Road Conditions B 1,Road Conditions B 2,Road Conditions C 1,Road Conditions C 2,Road Conditions D 1,Road Conditions D 2,Road Conditions E 1,Road Conditions E 2,Road Conditions F 1,Road Conditions F 2,Road Conditions G 1,Road Conditions G 2,Road Conditions H 1,Road Conditions H 2,Movement A 1,Movement A 2,Movement  B 1,Movement  B 2,Movement C 1,Movement C 2,Movement  D 1,Movement  D 2,Movement  E 1,Movement  E 2,Movement  F 1,Movement  F 2,Movement  G 1,Movement  G 2,Movement  H 1,Movement  H 2,Movement  I 1,Movement  I 2,Movement J 1,Movement J 2,Movement  K 1,Movement  K 2,Movement  L 1,Movement  L 2,Movement  M 1,Movement  M 2,Movement  N 1,Movement  N 2,Movement  O 1,Movement  O 2,Movement  P 1,Movement  P 2,Movement  Q 1,Movement  Q 2,Movement  R 1,Movement  R 2,Type A 1,Type A 2,Type B 1,Type B 2,Type C 1,Type C 2,Type D 1,Type D 2,Type E 1,Type E 2,Type F 1,Type F 2,Type G 1,Type G 2,Type H 1,Type H 2,Other A Yes,Other A No,Other B,Other C,Other D,Other E,Other F,Other G,Other H Yes,Other H No,Other I,Other J,Other K,Other L,Right Front Corner 3,Vehicle Year_2,Autonomous Mode,Latitude,Longitude,Narrow Roadway,Parked Vehicles,Intersection,Struck by Others,Other Party
Waymo LLC,Waymo LLC,5/21/2023,10:56,Yes,,2021.0,Jaguar,I-Pace,,,CA,Toland Street at Toland Place,San Francisco,San Francisco,CA,94124.0,Yes,,,,Yes,small dog,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,"On May 21, 2023 at 10:56 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a small dog on Toland Street at Toland Place.  The Waymo AV was traveling southwest on Toland Street when a small dog ran into the street in front of the Waymo AV. The Waymo AV then made contact with the dog, which did not survive. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage. ",,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.74332668,-122.3997491,-1,0,1,0,5
Cruise LLC,Cruise,5/21/2023,9:24,,Yes,2022.0,Cruise,AV,,,CA,1121 Folsom St,San Francisco,San Francisco,CA,94103.0,Yes,,,,,,2,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,,Yes,,,,Yes,,,Impreza,,,CA,,Yes,,,,,2.0,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling eastbound on Folsom Street between 8th Street and Langton Street. As the Cruise AV approached the intersection with Langton Street, the Cruise AV traveled over a pothole, which blew out the front driver side tire and caused the Cruise AV to veer into the adjacent parking lane. Shortly thereafter, the Cruise AV made contact with a parked Subaru Impreza, causing damage to the Cruise AV’s front passenger side quarter panel, front passenger side fascia, front driver side tire and rear passenger side quarter panel. Police and Emergency Medical Services were called and the Cruise AV was towed from the scene. The passenger of the Cruise AV was assessed by medical personnel at the scene but was not transported by Emergency Medical Services.",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2007.0,Yes,37.77631612,-122.4085303,0,1,1,0,1
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.","MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",5/30/2023,4:30,,Yes,2021.0,Mercedes-Benz,S500,,,MI,EB Condensa Street,Santa Clara,Santa Clara,CA,95051.0,,Yes,,,,,2,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Mazda 3,,,CA,Yes,,,,,,2.0,,Yes,The Mercedes-Benz was traveling eastbound on Condensa Street at the merge of the eastbound Central Expressway.  The driver of the Mercedes-Benz was yielding to cross-traffic and came to a complete stop as he waited for an opening to merge. The driver of the Mazda following the Mercedes-Benz did not come to a stop and contacted the Mercedes-Benz at the rear bumper. The Mazda was travel <5mph at the time of contact with the Mercedes-Benz. No injuries were incurred and both parties were able to drive away from the incident. ,,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,2016.0,,37.37052695,-121.968622,-1,0,1,1,1
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.","MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",6/1/2023,10:53,Yes,,2022.0,S CLASS,MERCEDES-BENZ,,,MI,710N NEAR 91E INTERCHANGE,LONG BEACH,LOS ANGELES,CA,90805.0,,,,,Yes,IRON ROD,1,,,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"THE DRIVER WAS OPERATING THIS VEHICLE ON US HWY 710N IN L2 MODE APPROACHING THE INTERCHANGE WITH THE US HWY 91. AS DRIVER APPROACHED AN OVERPASS, A 4-FOOT LONG STEEL ROD FELL FROM THE BRIDGE AND BOUNCED OFF THE HIGHWAY BEFORE HITTING THE FRONT BUMPER OF THE VEHICLE. THE DRIVER TOOK MANUAL CONTROL AND BROUGHT THE VEHICLE TO A STOP ON THE SHOULDER.  DAMAGE WAS INCURRED TO THE FRONT BUMPER INCLUDING DESTRUCTION OF A CAMERA SENSOR, LIDAR, AND RADAR.  NO INJURIES WERE REPORTED BY THE DRIVER AND HE WAS ABLE TO DRIVE FROM THE SCENE OF THE INCIDENT. ",,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,33.86417929,-118.1767001,0,0,0,0,0
Waymo LLC,Waymo LLC,6/5/2023,12:53,,Yes,2021.0,Jaguar,I-Pace,,,CA,3911 3rd Street,San Francisco,San Francisco,CA,94124.0,,Yes,,,,,2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,GMC,,,OR,Yes,,,,,,2.0,,,"On June 5, 2023 at 12:53 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a van in a parking lot at 3911 3rd Street.  The Waymo AV came to a stop while yielding to a pickup truck which was reversing into a perpendicular parking space in front of the Waymo AV. While the Waymo AV was stopped, a van which was in a parking space immediately to the right of the Waymo AV began reversing out of the parking space. The rear of the van made contact with the right side of the Waymo AV. The Waymo AV sustained damage. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.74189524,-122.3881546,0,1,0,1,0
"Pony.ai, Inc.",Pony.ai,6/5/2023,11:39,Yes,,2021.0,Hyundai,Kona EV,,,CA,Warren Ave & Kato Rd,Fremont,Alameda,CA,94538.0,,Yes,,,Yes,Vehicle,2,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honda Accord,,,CA,Yes,,,,Yes,Vehicle,2.0,,,"On June 5, 2023, while in supervised (“Drivered”) autonomous mode, a Pony.ai AV was rear-ended twice by a passenger vehicle at the intersection of Warren Ave and Kato Road in Fremont, CA. The Pony.ai AV was stopped at a red stop light when the passenger vehicle directly behind the Pony.ai AV proceeded to rear-end the Pony.ai AV two times in quick succession. The Pony.ai safety operator disengaged the Pony.ai AV from autonomous mode, and,  concerned for his own safety, immediately drove the vehicle back to the Pony.ai Fremont office (a distance of approximately 1 mile). The passenger vehicle which had rear-ended the Pony.ai AV followed  the Pony.ai AV back to Pony.ai’s Fremont office. After a brief interaction during which the driver of the passenger vehicle threatened Pony.ai employees, the passenger vehicle and driver drove away. The Fremont police took a report about the incident. There were no injuries reported.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,37.48564922,-121.9321714,0,0,1,1,1
Cruise LLC,Cruise,6/8/2023,10:37,,Yes,2022.0,Cruise,AV,,,CA,2275 Revere Ave,San Francisco,San Francisco,CA,94124.0,,Yes,,,,,2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Denali,,,,Yes,,,,,,2.0,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling southbound on Revere Avenue between Industrial Street and Selby Street. The Cruise AV came to a stop behind a GMC Yukon that was stopped diagonally in the Cruise AV’s lane of travel. After the Cruise AV came to a complete stop, the GMC Yukon began reversing further into the Cruise AV’s lane and made contact with the Cruise AV, damaging the front bumper fascia of the Cruise AV. The parties exchanged information and there were no reported injuries.",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.73885656,-122.4027402,0,1,0,1,2
WERIDE CORP,WeRide.ai,6/8/2023,2:06,,Yes,2019.0,Nissan,Leaf,,,CA,E Trimble Rd between Junction Ave and Zanker Rd,San Jose,Santa Clara,CA,95134.0,,Yes,,,,,2,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Volvo,,,NE,Yes,,,,,,2.0,,,"At 2:06pm a WeRide driverless vehicle (car 1) was stopped behind a big rig truck (vehicle 2). As our vehicle (car 1) was stopped behind the big rig truck, the big rig truck proceeded to reverse backwards and eventually collided into the WeRide vehicle (car 1). Both parties pulled over both involved vehicles and cooperated to exchange information. The damage sustained to the WeRide vehicle was moderate and the big rig truck did not have any damage. ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,Yes,2018.0,Yes,37.39763596,-121.9311344,-1,0,0,1,2
Cruise LLC,Cruise,6/9/2023,10:22,,Yes,2022.0,Cruise,AV,,,CA,2181 Harrison St,San Francisco,San Francisco,CA,94110.0,,Yes,,,,,2,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit Cargo Van,,,CA,Yes,,,,,,2.0,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling northbound on Harrison St. between 18th Street and 19th Street. As the Cruise AV was coming to a stop for a stop sign at the intersection with 18th Street, a van approaching from the rear failed to stop behind the Cruise AV and made contact with the Cruise AV's rear bumper, damaging the rear bumper of the Cruise AV. Police and Emergency Medical Services were called and the Cruise AV was towed from the scene. The driver of the van was transported by Emergency Medical Services for further evaluation.",,,,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Yes,37.76214316,-122.4128317,-1,0,1,1,2
Waymo LLC,Waymo LLC,6/9/2023,2:47,,Yes,2021.0,Jaguar,I-Pace,,,CA,Fell Street at Laguna Street,San Francisco,San Francisco,CA,94102.0,Yes,,,,,,2,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smart Fortwo,,,CA,,Yes,,,,,2.0,,Yes,"On June 9, 2023 at 2:47 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on Fell Street at Laguna Street.  The Waymo AV was maneuvering out of a parallel parking spot at the right side curb on Fell Street. As it reversed, the rear of the Waymo AV made contact with the front of the passenger car parked directly behind it. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both the Waymo AV and the passenger car sustained damage.  ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,,37.77561749,-122.4260791,-1,1,1,0,1
Waymo LLC,Waymo LLC,6/11/2023,3:44,,Yes,2021.0,Jaguar,I-Pace,,,CA,Santiago Street near 42nd Avenue,San Francisco,San Francisco,CA,94116.0,,Yes,,,,,2,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Toyota C-HR,,,CA,Yes,,,,,,2.0,,,"On June 11, 2023 at 3:44 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on Santiago Street near 42nd Avenue.  The Waymo AV was parallel parked along the curb on eastbound Santiago Street when a passenger car pulled up behind the Waymo AV. The front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.  ",,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Yes,37.74384504,-122.5004893,-1,1,0,1,1
Cruise LLC,Cruise,6/15/2023,9:36,Yes,,2022.0,Cruise,AV,,,CA,3164 Sacramento St,San Francisco,San Francisco,CA,94115.0,Yes,,,,,,2,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,Articulating Boom Lift (Model # 860SJ),,,unk,,Yes,,,,,2.0,,,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling eastbound on Sacramento Street between Lyon Street and Baker Street. The Cruise AV approached a motorized articulating boom lift (“ABL”), which was stopped in the Cruise AV’s lane of travel. As the Cruise AV began to maneuver around and to the left of the ABL, the Cruise AV made contact with the arm of the ABL, which was elevated above the roadway. This caused damage to the Cruise AV’s roof Lidar assembly. There were no reported injuries.",,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,Yes,37.78848884,-122.4451012,1,1,0,0,0
Cruise LLC,Cruise,6/17/2023,11:30,,Yes,2023.0,Cruise,AV,,,CA,3376 19th St,San Francisco,San Francisco,CA,94110.0,Yes,,,,,,2,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spin Scooter,,,unk,,Yes,,,,,2.0,,,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling westbound on 19th Street between Capp Street and Mission Street. The Cruise AV slowed to a stop due to a pedestrian on a scooter who entered the lane of traffic in front of the AV and started proceeding in circles. Shortly thereafter, the pedestrian approached the stopped Cruise AV, placed the scooter on the ground in front of the Cruise AV’s front passenger side tire, and walked away off the roadway. After the pedestrian left, the Cruise AV attempted to proceed forward and made contact with the abandoned scooter. There were no damages to the Cruise AV and there were no reported injuries.",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,Yes,37.76031788,-122.4187458,-1,0,0,0,4
Cruise LLC,Cruise,6/17/2023,10:45,Yes,,2023.0,Cruise,AV,,,CA,450 10th St,San Francisco,San Francisco,CA,94103.0,Yes,,,,,,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was parked in a parking space in a Costco lot facility. As the Cruise AV operator was reversing out of the parking space, the Cruise AV made contact with a cement pillar, damaging the front driver side bumper fascia of the Cruise AV. There were no reported injuries.",,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,37.77086343,-122.4104087,0,1,0,0,0
"Zoox, Inc. dba Zoox Labs Inc. ",Zoox,6/18/2023,5:50,,Yes,2016.0,Toyota ,Highlander,,,CA,Montgomery and Pine Street,San Francisco,San Francisco,CA,94104.0,,Yes,,,,,2,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toyota 4runner,,,CA,Yes,,,,,,2.0,,Yes,"A Zoox vehicle in manual mode was stopped in stop-and-go traffic southbound on Montgomery St. at the intersection of Pine St. when it was struck from behind by vehicle 2.  Police were not called, and Zoox operators later reported injuries.  ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,,37.79204555,-122.4026052,-1,0,1,1,0
Waymo LLC,Waymo LLC,6/18/2023,5:06,,Yes,2021.0,Jaguar,I-Pace,,,CA,Market Street at Diamond Street,San Francisco,San Francisco,CA,94114.0,Yes,,,,,,2,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Nissan Maxima,,,,Yes,,,,,,2.0,,,"On June 18, 2023 at 5:06 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Market Street and Diamond Street.  The Waymo AV was stopped for a red light on Market Street at Diamond Street with its turn signal activated to indicate intent to turn left onto Diamond Street. The traffic light turned green, and the Waymo AV slowly moved forward, yielding to oncoming traffic, when the vehicle that had been previously stopped behind the Waymo AV proceeded forward, making contact with the rear bumper of the Waymo AV. The other party immediately left the scene of the event. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.76203946,-122.4373135,0,0,1,1,1
Cruise LLC,Cruise,6/24/2023,11:08,,Yes,2023.0,Cruise,AV,,,CA,676 Tennessee St,San Francisco,San Francisco,CA,94107.0,Yes,,,,,,2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Sedan,,,,,,,,,,,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling southbound on Tennessee Street between Mariposa Street and 18th Street when it approached a Lexus Sedan that was stopped in the middle of the road between the Cruise AV’s lane of travel and opposite lane of travel. As the Cruise AV passed the stopped Lexus Sedan on the right, the passenger of the Lexus Sedan opened their front passenger side door, making contact with the Cruise AV’s lower front driver side bumper fascia. This caused damage to the Cruise AV’s lower front driver side bumper fascia and front driver side wheel opening molding. The driver of the Lexus Sedan left the scene without exchanging information. There were no reported injuries.",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.76352659,-122.3900347,1,1,0,1,1
Waymo LLC,Waymo LLC,6/28/2023,9:19,,Yes,2021.0,Jaguar,I-Pace,,,CA,Great Highway near Kirkham Street,San Francisco,San Francisco,CA,94122.0,,Yes,,,,,2,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mazda B2600i,,,WA,Yes,,,,,,2.0,,,"On June 28, 2023 at 9:19 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a pickup truck on Great Highway near Kirkham Street.   The Waymo AV was parallel parked along the curb on southbound Great Highway when a pickup truck that was initially parked directly behind the Waymo AV began to maneuver out of its parking spot. As the pickup truck pulled out of the parking spot, it initiated a multi-turn maneuver and reversed into the parked Waymo AV. The rear passenger's side corner of the pickup truck made contact with the driver side rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.  ",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,1991.0,Yes,37.75855059,-122.5091886,0,1,0,1,2
Cruise LLC,Cruise,6/29/2023,1:05,,Yes,2020.0,Cruise,AV,,,CA,1207 Selby St,San Francisco,San Francisco,CA,94124.0,Yes,,,,,,2,,,Yes,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,Semi-Trailer Truck,,,,,Yes,,,,,2.0,,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in supervised autonomous mode, was traveling southbound on Selby Street between Palou Avenue and Oakdale Avenue. The Cruise AV came to a stop behind a semi-trailer truck that was slowly reversing diagonally onto Selby Street from the intersection with Palou Avenue. As the semi-trailer truck began encroaching into the Cruise AV’s lane of travel, the Cruise AV operator disengaged from autonomous into manual mode and began reversing the Cruise AV, causing the Cruise AV to back into a different semi-trailer truck parked behind the Cruise AV. This caused damage to the Cruise AV’s rear passenger side wheel molding. The Cruise AV operator left information for the other party and there were no reported injuries.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.73990991,-122.3998525,0,1,1,1,2
Apollo Autonomous Driving USA LLC,Apollo Autonomous Driving USA LLC,6/29/2023,3:39,,Yes,2020.0,Chrysler,Pacifica,,,California,Moraga St near 34th Ave,San Francisco,San Francisco,CA,94122.0,Yes,,,,,,2,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,scooter,2.0,,,"On June 29, 2023 at 3:39 PM PDT, an Apollo Autonomous Vehicle (“Apollo AV”) operating in San Francisco, California, was in a collision involving a scooter on Moraga Street near 34th Ave.   The Apollo AV was traveling westbound on Moraga Street passing the intersection with 34th Ave. The intersection has stop signs clearly installed at all four ways, which require vehicles to make full stop before entering the intersection. The Apollo AV made a full stop, entered and passed approximately 75% of the intersection. A person on scooter coming southbound from 34th Ave.,  approached the intersection. The person on scooter entered the intersection without stopping, then made contact with the passenger rear-side of Apollo AV. Our Apollo AV operator immediately disengaged the AV, pulled over to the closest safe place to park, got out of the car to check the person on scooter, who already left the scene on his scooter without exchanging any information. The Apollo AV had small minor paint scratch, which do not need repair. The police were not called. ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,37.75430537,-122.4924709,-1,0,1,1,4
